overall_rates,status,title,date,position,location,pros,cons
4,"Former Employee, less than 1 year",Just a normal retail job,08-Apr-21, Retail Sales Associate ,None,good hours and pleasant atmosphere,frequently understaffed and the radios almost never worked making it difficult to communicate with colleagues
4,"Former Employee, more than 1 year",Ok,03-May-21, Cashier,"Leicester, England","Basic job, ok pay, good treatment","Stressful shifts, arrogant workers, annoying times"
5,"Current Employee, more than 1 year",Amazing place,04-May-21, Sales Associate/Cashier ,None,Nice people (very good environment),Nothing at all. Always good.
1,Current Employee,Avoid at all times,07-Jul-21, Sales Advisor,"London, England","No pros at all, at all","Uniform, workload, low pay, yelling boss"
1,"Former Employee, more than 3 years",Not what its cracked up to be,28-Jun-21, Customer Assistant,"Glasgow, Scotland",employee discount usually have friendly customers,management thinking they are gods gift
5,Former Employee,Zara,26-Apr-21, Retail Sales Assistant,"Southampton, England","Boss, salary, environment, colleagues, I don’t know","Long hours, shift break, high pressure, boring"
5,Current Employee,proud to work!,01-Apr-21, Associate Fashion Designer,"Manchester, England",i love it! i have been doing it for years,wish it was closer. i work and want to be closer to home
1,"Former Employee, less than 1 year",Cashier in Zara not very happy,15-Feb-21, Cashier,"Reading, England",It is a very good job to make some experiences.,"The management was very bad. There was a lot to do and the job was carried from the floor assistants and the cashiers. The Managers were rude, they used to change the shifts at the last moment and torment the employees. You were forced to do overtime, otherwise you were fired."
4,"Former Employee, more than 5 years",Great team,24-Apr-21, Retail Manager,"Bristol, England",Great team Good pay Great opportunities fo career development,Long hours Managers had to do everything Set salary
3,Former Employee,Good,28-Apr-21, Sales ,None,Discount was very good but could be better,"Low discount, could have better discount"
2,"Current Employee, more than 1 year",Sales,29-Apr-21, Sales,"London, England","Good environment, people and the staff discount","Hard work, shift patterns, and overtime"
3,"Current Employee, more than 1 year",It's hard work not always rewarded,04-Feb-21, Sales Assistant,"London, England","It's def not a boring job, I had the chance to learn a lot and grow inside the company quickly.","You grow quickly if the management likes you otherwise your effort is useless, they have preferences, especially for the spanish yard"
4,"Current Employee, more than 1 year",Good place,04-Mar-21, Customer Assistant,"London, England","Friendly people, always busy so you have always something to do",Managers can be a bit rude but it’s all okay
5,"Current Employee, more than 1 year",experience,06-Apr-21, Anonymous Employee,"London, England",everyone is nice and sweet,sometimes very tiring and alot of work.
4,Current Employee,good,09-Apr-21, Seller,"London, England",a good salary and more independence,a lot of work often late
4,"Former Employee, more than 1 year",Good place to work,27-Mar-21, Sales Associate,"London, England","Growth possibility within the company, amazing colleagues.",Salaries and benefits are not that rewarding
1,Current Employee,Bad Company,16-Jun-21, Sales Assistant ,None,"Discount, discount, nothing else for now","BAd management, every one is spanish"
5,Current Employee,Amazing place to work within retail.,22-Mar-21, Store Manager ,None,"Careear progresion, a lot of learning and knolewdge.",Very demanding and long hours.
3,Current Employee,Alright.,22-Mar-21, Visual Merchandiser,"London, England",Good worklife balance and nice colleagues,You always end up doing other people's jobs. And there are lots of favoritisms.
3,"Former Employee, more than 1 year",Sales,29-Mar-21, Sales Assistant,"London, England","Good wage and commission, staff discount",Long Hours at times not a lot of support
3,Former Employee,decent,03-Mar-21, Cashier ,None,staff discount includes sale products head cashier was really nice and flexible with shifts most of the managers were nice,coworkers can be patronising very fast pace
4,Current Employee,goos company,28-Mar-21, Senior Cashier,"West Thurrock, England",good workplace good management opportunity for progression,late shifts odd hours work bank holidays
3,Current Employee,.,26-Feb-21, Sales Assistant,"London, England",Good work environment and motivated people,"the shifts, your working hours are different each day and you can literally work any time even night on a week."
4,Former Employee,Always busy!,24-Mar-21, Sales Assistant ,None,"Offered shifts constantly, always busy, fantastic people","Understaffed, long hours, stressful working environment"
4,Current Employee,Zara,28-Mar-21, Sales Assistant ,None,Good staff very good pay,Too much work for amount of staff
4,"Current Employee, more than 1 year",Good company where to grow,19-Mar-21, Commercial,"London, England","Growing inside the company, learn different positions.","Big company, so many employers."
5,Former Employee,Great place to work,25-Feb-21, Sales Assistant ,None,friendly staff great staff discount  well paid for a retail job, sometimes you will be working in town late at night
5,Current Employee,Best Part-time job I have had,09-Feb-21, Sales Associate/Cashier,"Belfast, Northern Ireland","Well managed and ran store, always enough staff in to cover any absences, friendly staff.","Minimum 20 hour contracts, may not suit some people"
3,"Current Employee, more than 1 year",They take care of employess,26-Jan-21, Retail Sales Assistant,"Greenhithe, England","They listen to employees, they take Care of them",It is Not challenging job if you are a graduate person
3,"Former Employee, less than 1 year",Sales Associate,16-Mar-21, Sales Associate,"London, England",The lunch room is nice.,Managers are sometimes rude and expect way too much.
5,"Current Employee, more than 3 years",Love it,15-Mar-21, Sales Associate,"Manchester, England","Good salary, good team, good atmosphere",Not paid enough and bad management
2,"Current Employee, more than 8 years",work you to the bone,22-Feb-21, Head of Recruitment,"London, England",initially salary is good but not reviewed,poor treatment of staff by the Head office team you are a number
4,Former Employee,workers can make or break your experience,31-Jan-21, Cashier ,None,"good overall, company paid all of salary during covid19 despite furlough","same as all retail, on your feet all day rude customers etc etc"
4,Former Employee,Nice people,10-Mar-21, Sales Assistant,"Belfast, Northern Ireland",Nice management and team moral,"Company too big, and lack of flexibility"
4,Former Employee,good,16-Mar-21, Sales Assistant ,None,good Zara discount and pay,some management wasn't that great
3,"Former Employee, more than 1 year",Very Spanish,23-Feb-21, Cashier,"Norwich, England",People who work there are very friendly Good Salary Good Bonuses,"Management are very Spanish and strict Stressful environment, especially during sales"
3,"Former Employee, less than 1 year",Good,06-Mar-21, Retail Sales Assistant,"London, England",Staff were really nice. Good discounts on clothing,Could be stressful sometimes but overall good
4,"Former Employee, less than 1 year",Fair rates,05-Mar-21, Stockroom Assistant,"London, England","Well organised, good employee's discount",Stressful environment on Boxing day and Black Frdiday
3,Current Employee,good environment for learning,05-Mar-21, Operational Assistant,"London, England","diversity environment ,always keep busy","overwhelm for the volume of jobs,low staff"
3,"Current Employee, more than 5 years","poor management, stressful,",12-Jan-21, Sales Assistant,"London, England","colleagues, discount, friendship, fashion, sales","balance life, salary, stress, no way of promotion if you are not an asslicker, management throw their mistakes to the team and are not able to admint their mistakes"
1,"Former Employee, more than 1 year",zara derby,13-May-21, Sales Assistant,"Derby, England",the discount was really good,managers were bullies at times
3,Former Employee,Sales assistant,25-Feb-21, Sales Assistant,"Manchester, England",Good pay for part time job,Frequently overworked and staying late to complete jobs
4,Current Employee,Good Company to Work for,16-Feb-21, Cashier ,None,Good management Great discount Fast paced working  never bored,Can be stressful at times
3,"Former Employee, more than 3 years",hard work,05-Feb-21, Cashier,"Glasgow, Scotland","great team, kept busy, can progress if you want to","high pressured, not enough staff, they expect a lot from you"
4,"Former Employee, more than 3 years",Good,23-Feb-21, Sales Assistant,"Glasgow, Scotland",Fast paced good pay commission,A lot of pressure and management weren’t supportive
2,Former Employee,Bad management,28-Feb-21, Retail Sales Assistant ,None,Pay and discount are good,Managers are very rude to staff
3,"Current Employee, less than 1 year",Good,19-Feb-21, Cashier,"London, England","Well paid, cashier better than sales assistant",It depends on which shop you are
3,Former Employee,Good,17-Feb-21, Sales Associate ,None,2 breaks Discount Friendly team Active Role You get to learn a lot,Salary Management Work life balance Long working hours Exhausting
4,Current Employee,Good,09-Feb-21, Retail Sales Assistant,"Manchester City Centre, England",It is a very friendly atmosphere to work in,Communication can be not so good some times
4,"Former Employee, more than 1 year",Zara,23-Nov-20, Sales Associate,"Liverpool, England","Always busy, discount, Good pay, uniform supplied.","Management tend to be under pressure, many staff went off sick due to stress. You can work there for years and still not be promoted."
5,"Former Employee, more than 1 year",Great company to work for,04-Feb-21, Deputy Manager,"Glasgow, Scotland","salary, opportunities, development, they look after you",work/life balance for managment positions
3,"Former Employee, more than 1 year","Fast paced environment, fast fashion",31-Dec-20, Sales Associate,"London, England",25 percent employee discount offered,terrible management and racial bias
4,"Current Employee, more than 5 years",.,06-Feb-21, Assistant Manager,"London, England",Life balance is very good,Salary could be much better for the amount of work
3,Former Employee,Areas for improvement but good enough,18-Jan-21, Sales Assistant,"Manchester, England","fast pace, dynamic, multicultural, fine salary, flexible","messy management at times, not enough devices for staff at work"
2,Former Employee,Just Okay,13-Feb-21, Shop Assistant,"Maidstone, England","Fairly simple direction, access to fashion","Rude management, horrible uniform, mean atmosphere"
5,"Former Employee, less than 1 year",Loved my time here,15-Jan-21, Part Time Cashier ,None,25% employee discount fun work environment,hard to contact management/ sore if ill and not able to come into work
3,Former Employee,Zara,04-Feb-21, Sales Assistant,"London, England",Discount at a lot of other shops,"Minimum wage, Strict management, Didn't like you speaking to customers"
4,Current Employee,Sales assistant,07-Feb-21, Sales Assistant,"London, England",Monthly service awards given after 2 years,Shift times can vary alot
4,"Current Employee, less than 1 year",Great place to work,27-Jan-21, Sales Assistant,"Oxford, England",Really good pay Zara 25% discount,Lots of work in a small amount of time
5,Former Employee,Good place,22-Jan-21, Sales Assistant ,None,Helpful and great staff to work with,None as it is a great company to work at
1,"Former Employee, more than 1 year",Personally not for me,01-Feb-21, Sales Associate,"Kingston upon Thames, England","the money is good, and the people who work with you de nice.","the management don’t care about you, they threaten your job if you can’t make shifts, they refuse to give you lunch breaks"
1,"Former Employee, more than 3 years",Terrible place to work,29-Mar-21, General Manager,"Bolton, England",Salary and benefits were great,No life balance whats so ever. No day off as constantly on the phone...low staffing
5,"Former Employee, less than 1 year",base pay minimum benefits,20-Jan-21, Sale Assistant,"London, England",The first job landed in london,After a while repetitive and wish to go somewhere else
4,Current Employee,Nice,23-Jan-21, Sales,"Birmingham, England",Nice team and nice managers,Costumers can be really rude and aggressive A lot of tasks to do
5,Former Employee,Good place,23-Jan-21, Analyst ,None,Good place to work for a new starter,Very stressful and not that well paid
4,"Former Employee, more than 3 years",manager,07-Jan-19, Anonymous Employee,"London, England","you have 25%discount for product even on sale items. Fresh fruit basket every day, discount for gym membership. There is RFID system integrated which allows replenishement to be done in very effective way. Posibility to grow in the company if you have people focused manager. All zara experience depends on the management. If manager is able to keep stress inside for staff not to notice it, you will have a nice experience.","It's really fast paces environment. Even if you want to learn and train other people to grow, you don't always have time for that, as hours in all the stores are being cut, productivity increased and you are being pushed to the limits. And its not only in the stores that hours are cut off, but also in head office. Everyone is just tired and its sad, as the way company works in some aspects is amazing. Sometimes you work in your store, and are used to it, and then regional HR will come and tell you that you will be working in other store from next week. Head office has plan for all their managers to move between stores 2 times in a year. Work/life balance is not very good, as your rota can change a lot due to bussiness needs. Also managers needs to do overtime if something isn't done and not be paid for it."
2,Former Employee,...,06-Feb-21, Sales Assistant,"Birmingham, England","Discount, that is about it","Long hours, poor management, forced to work overtime"
3,"Former Employee, more than 1 year","Good way to get some experience, but then ... is better to look for something else.",22-Jul-14, Sales Assistant,"London, England","Flessible timetable: possibility to work just in specific days of the week, perfect for students and people who have more than one job. Sometimes you are lucky enought to work with a good team. Possibility to grow really fast inside the company. Good starting point for people without a working experience. Good commissions.","Do not expect to receive any appreciation for the job done: even if you do your best, will always be some criticism from the management staff. The employ discount is ridiculous, 15% off. Most of the management is arrogant and unable to manage and motivate the team. The reason why is linked to the possibility to grow really fast inside the company (in less than two years you can go from basic sales assistant to department manager): the trainings are not long enought to get a proper knowledge/experience about managing people. Unable to motivate and retain people. The figure of the employ is seen as a sort of machine: there is no possibility to express personal opinions, you have just to get your job done how and when they ""order"" you. The power is too much centralised: avery single indication comes from Spain. They pretend to apply the same marketing mix, health & safety rules, ... in the same way everywhere without keeping into account that every single store has specific features and needs."
4,Former Employee,Good,15-Jan-21, Sales Associate,"Aberdeen, Scotland",Salary and Discount and Paid holidays are good,Due to the situation they do not take permanent staff
2,"Current Employee, more than 1 year",Working at Zara,31-Jan-21, Cashier,"Manchester, England",busy environment that keeps you engage,bad organisation of the tasks
4,Current Employee,Good place to work but can be stresfull if you don't want to deal with rude people,13-Dec-20, Sales Assistant,"London, England",Good team and can have fun.,angry and rude customers you have to deal with
4,"Former Employee, less than 1 year",Good,23-Jan-21, Shop Assistant ,None,Good hours and flexible working hours,Minimum wage and has to make effort
1,"Former Employee, less than 1 year",Horrible,14-Apr-21, Sales Assistant,"London, England",none none none none none,"culture, management, salary, shifts, employees"
3,"Former Employee, more than 1 year",Not a good working environment,20-Oct-20, Visual Merchandiser,"Gateshead, England",Good pay in comparison to others.,Management are a nightmare to work with and are only concerned about sales and not their staff  there feels like a big divide between general sales staff and the management. Customer service practically doesn't exist. Hours are long and gruelling.
4,"Former Employee, less than 1 year",Not bad,15-Dec-20, Cashier,"London, England","Discount on items, line managers were very good","Overall management was very poor, particularly shop floor managers, seemed to always have a chip on their shoulder"
2,Former Employee,Nice,19-Jan-21, Retail Sales Assistant,"Manchester, England",one of prons is the discount,"Poor management, hard to grow, long shifts"
3,"Former Employee, less than 1 year",Fine,05-Jan-21, Sales Assistant,"London, England","Fine, busy environment, fun, diverse","slow career progression, store managers are not always the greatest ones, quick turnover"
5,"Former Employee, more than 3 years",Very recomended,27-Dec-20, Department Manager,"Cambridge, England","Best store to work on retail. Fast peaced, but you learn a lot.","None, but you'll work hard"
4,Former Employee,Average,12-Jan-21, Sales Assistant,"London, England",good team working culture nice people,too many micro managers and long shifts
1,"Former Employee, more than 3 years",The worst experience of my life,17-Dec-20, Cashier,"Nottingham, England","Great discount Quite flexible working hours, it's easy to get a day off when you need one","Not great management team, the organisation felt short. Blatant favouritism in the company. No proper training for the new employees. Understaffed. In general very toxic place to work in."
4,Former Employee,Good,04-Jan-21, Cashier ,None,"Good pay, good hours, like the clothes","Bad management, disorganised, sizing is awful"
4,"Former Employee, more than 3 years",Good for temporary!,27-Oct-20, Cashier,"Leeds, England",I found the management and staff to be really kind and friendly. A pleasant work environment was created and it really helped when it came to getting through the busy periods.,A lot of work with not enough staff!
2,"Current Employee, more than 3 years",Favouritism,13-Oct-20, Sales Assistant,"London, England",Work environment is fun as you work with fashion and trends,"Very difficult to grow in the company unless you are favourite to your line manager, it does not matter how hard you work or how professional you are."
5,"Current Employee, less than 1 year",GOOD,21-Dec-20, Warehouse Worker,"Brighton, England",Fun happy posotive freindly Good Hours,It can get a bit too repatative some times
1,Current Employee,Not recommended,12-Mar-21, Sales Assistant,"London, England",Employee discount in the Inditex stores,You don't have a fixed shift
1,"Former Employee, less than 1 year",Bad treatment,04-Feb-21, Sales Assistant,"London, England","discounts, uniform provided, above average pay","cold energy, poor treatment, irregular hours"
3,"Former Employee, more than 1 year",Not nice environment,05-Nov-20, Sales Assistant,"London, England","Salary, Diversity, Easy interview process, Location, and Discount for employees.","Colleagues, Customers, Managers, Values of the Company, Not sustainable company."
3,"Current Employee, more than 1 year",Your life zara,25-Nov-20, Commercial,"London, England","Discounts, access to product, possibilities to grow, trainings","They change your hours, lack of humanity and it’s all about who your friend is..."
3,Former Employee,Sales assistant,09-Dec-20, Sales Associate,"London, England",Dynamic environment if you like fast paced environment Colleagues Flexibility,Growth opportunities Management communication Discrimination Become repetitive after a while
2,Current Employee,Pros and cons,24-Dec-20, Retail Sales Associate,"London, England",Good salary in center london,Very long shifts and rude managers
2,Current Employee,Not recomended,09-Dec-20, Sale Associate,"London, England",Good salary. The best position its work on tills,Too much work. Long hours. Management not really friendly
5,Current Employee,Great to work for,29-Nov-20, Sales Assistant,"Belfast, Northern Ireland","Friendly, growth opportunities, lots of benefits",Shifts can last longer/shorter than they where supposed to
4,Former Employee,Nice,01-Dec-20, Anonymous Employee ,None,"Gods salary, discount, part time, they can cover me",Busy and stressful. Also the manager it’s quit hard
3,Former Employee,Sales Assistant,16-Dec-20, Sales Assistant ,None,Company culture Effective upper management Quick recruitment process,Shop management not very effective
5,"Current Employee, less than 1 year",sales,12-Dec-20, Sales ,None,nice team in the store,"no, everything was fine at the store"
5,Current Employee,Innovative,17-Oct-20, Head Cashier,"London, England",It is a great environment where employees are fairly treated and meritocracy actually exist,"Retail, not only Zara, is stressful. In Zara is even more stressful due to the pace of the business"
5,Current Employee,Review,30-Nov-20, Sales Assistant,"Glasgow, Scotland",Very lovely staff and very helpful,Could be more staff to help on the shop floor
5,Current Employee,Great company,09-Dec-20, Sales Assistant ,None,Good salary Profit sharing scheme,"Retail hours, allow this is expected"
1,"Former Employee, more than 1 year",Awful,26-Jan-21, Sales Associate/Cashier,"London, England",Good discount and Christmas voucher,Made you take holiday in certain months. Pay was bad Managers are mean and favour certain nationalities Poor communication No control over hours
1,"Former Employee, less than 1 year",Don’t work here,18-Feb-21, Sales Associate,"London, England",Staff Discount was pretty good and accessible,"Pay, how rude managers are, uniform"
4,Former Employee,Amazing Company to grow professionally,22-Oct-20, Operations,"London, England",Dynamic and innovating environment. Best technology in the market. Opportunities to grow quickly if you are committed and hard worker.,Very demanding company in terms of personal time.
4,Former Employee,Great Work Experience,13-Nov-20, Sales Assistant,"London, England", get great commission  Diversity, Make you work like dogs  Likely to employ you if you're from Europe
5,Current Employee,Good experience in sales,30-Sep-20, Commercial Manager,"London, England","the difficulty of the position, it's an interesting challenge to growth in commercial","hectic schedule, communication in the company, sometimes it's a little bit underorganized"
3,"Former Employee, less than 1 year",salary,01-Dec-20, Anonymous Employee,"Leicester, England",high salary for a retail company,"very poor management, no work life balance"
3,Former Employee,Was okay,04-Dec-20, Sals Assistant,"Solihull, England",Good store discount and salary,Managers are childish and sneaky
5,"Former Employee, more than 1 year",great,27-Nov-20, Sales Assistant,"London, England",good ambiance within the team,staff area not so great
3,Current Employee,zara sales,26-Nov-20, Sales Assistant,"Liverpool, England",nice team and good clothes,long hours and stress place
3,"Current Employee, more than 1 year","Good pay, management and regional managers are rude",11-Oct-20, Visual Merchandiser,"Nottingham, England",Good pay Great benefit system Good progression and training,"Management are rude, expect you to live to work, no work home life balance"
2,Current Employee,Fast job,23-Oct-20, Department Manager,"London, England","The salary is not bad, enough holidays but difficult to book them in advance, young place","pyramidal old management, stressful environment, no life balance"
5,Current Employee,work in london in zara,09-Nov-20, Assistant Manager,"London, England",a nice place to work,i can t remeber now sorry
1,Former Employee,Bizarre,01-Feb-21, Sales Assistant ,None,Good pay and bonuses and good discount,"Long days, exhausting Rude No manners"
5,"Former Employee, more than 1 year",Sales associate at Zara,18-Oct-20, Sales Associate,"London, England",Discounts We are able to shop when there was a sale before customers,Extremely heavy workload Long work hours
4,Current Employee,shop assistance,15-Oct-20, Sales Assistant,"London, England","Team work work to satisfy the customer work with a lot of passion, especially always with a smile",for me there are no cons
4,Current Employee,Hard but rewarding,07-Nov-20, Commercial ,None,Nice work environment Good pay Good shifts,Very hard work Lots of responsibility
4,"Current Employee, more than 3 years",Could be better,13-Oct-20, Visual Merchandising,"London, England","Staff discount ,benefit and annual bonus",Working under pressure Rude costumers Cover other mansion
5,Current Employee,Excellent,18-Oct-20, Shop Assistant ,None,The salary and the work were good,"The timetables are weird, you have not a lot of time to eat."
3,"Former Employee, less than 1 year","was ok, busy christmas time",02-Sep-20, Sales Assistant,"London, England","qute a lot of staff, al the time something to do, busy, cam laugh with managment","busy, rota every week and can change, sometimes boring all the time folding clothes, not an exciting job for long"
1,"Current Employee, less than 1 year",pooor,28-Jan-21, Sales Associate,"London, England",I felt so depressed working there,I felt awful working there
3,"Former Employee, more than 3 years",working for inditex,14-Oct-20, Retail Sales Assistant,"London, England",good customer service experience great staff discounts nice clothes multicultural environment good sales prices,low salaries toxic management team not flexible working under pressure short breaks for parttime workers
5,Former Employee,"Great place to work at, great opportunites",12-Oct-20, Sales Associate ,None,Great salary and discount. Management are very friendly.,"no downsides, but can be quite busy sometimes"
1,"Former Employee, less than 1 year","Awful company to work for, do not be fooled!",06-Apr-19, Sales Advisor ,None,Only pros of this job are the discount and that you get paid slightly more than other companies in the same role but you are doing 5 times the work anyway so it's the very least they can do.,"Very poor management who are patronizing and unpleasant to work around and have bad communication. No social life on 40hour contract with the late hours and two days of the week off rarely being on the weekend or consecutive. People are promoted based on favoritism, not performance, education or experience. Everyone including managers speak their native language, not English as it states in the handbook and no one is ever told not to or disciplined so there is no employee harmony. Have to stay an hour and a half after closing just to tidy up so you can imagine how messy it gets, not allowed to leave if the standards aren't finished regardless of how busy it's been. The overall culture of the workplace is awful, you cannot trust anyone. I read the reviews of Zara on the day I got the job and didn't think it could be bad as people said but it truly is."
2,"Former Employee, more than 1 year",not bad,14-Oct-20, Retail Sales Assistant,"London, England",good teamwork and nice kitchen,too much pressure and they are always wanting more and more even if you give 200%
2,Former Employee,Stressful,04-Nov-20, Christmas Sales Assistant ,None,Good commission and a good discount,Worked hard and hours split too much
2,Former Employee,.,27-Oct-20, Sales Associate/Cashier ,None,There are no pros in working at zara.,Everything is cons if you work at zara.
1,"Former Employee, less than 1 year",Racist,16-Jan-21, Sales Associate,"London, England",None at all in my opinion,Everything was negative from my experience
3,Former Employee,Bad Management,16-Oct-20, Sales Associate ,None,25% Staff Discount instore and online which was great,Unapproachable management if you ever had an issue
5,Current Employee,Fun fashion forward,10-Oct-20, Cashier,"Birmingham, England",Exciting fast fashion always room for climb the ladder,Very busy no time to rest
4,Former Employee,low flexibility,19-Oct-20, Retail Sales Associate ,None,My coworkers were really nice,Little flexibility in increasing or reducing contract hours
4,"Current Employee, less than 1 year",Working at zara,20-Oct-20, Sales Assistant,"Leeds, England",Very very good employee discount,Complicated hours on timetable which is inconvenience
3,Current Employee,Working by your own,16-Oct-20, Sales Assistant,"Leeds, England","Discount, team work, flexible shift",Extremely busy Many tasks and duties for only person
3,Former Employee,Hectic!,20-Jul-16, Sales Associate/Cashier,"Belfast, Northern Ireland","Job security, large brand which is constantly growing and expanding. Opportunities to transfer and work in different countries in Europe if you speak the language. Great 25% staff discount. Commission with each pay cheuqe depending on the performance of the store  1% for sales staff and 2% for cashiers. Relatively flat structure so most staff are in the same boat with regards to responsibility, expectations, etc which creates a sense of togetherness. Most stores have a dedicated stock room team. Handheld devices which (in theory) allow for easy stock check. Consistent managerial style. Stores renovated every few years. Great location.",Can be incredibly busy at times with very little change in staffing levels to reflect this. Stores seem to be constantly understaffed which can make completing even the simplest of tasks seem overwhelming. Unwillingness to open another till/cash desk at peak times puts cashiers under massive pressure and results in huge queues and unhappy customers to deal with. Equipment has a tendency to break or die when you most need it. Complicated pay structure (although this is common across the industry). Working at Zara involves a remarkable amount of cleaning  once the store has closed you are expected to stay behind for around one hour to tidy the store. No real scope for promotion but in reality only a select few will want to progress their career at Zara.
3,"Former Employee, more than 1 year",Depends on the store,29-Sep-20, Retail Sales Assistant,"London, England","Commission when the store hits the monthly target, discount on clothes",management needs improvement/ high turnover of staff***
5,Former Employee,Zara,22-Oct-20, Sales Associate ,None,Growth opportunities Discount Fast paced environment,No real cons Fast paced
1,"Current Employee, less than 1 year",Retail Dictatorship,06-Nov-14, Anonymous Employee,"Liverpool, England","Love the Zara aesthetic, but that's where it stops. Happy to shop there, not to work. Decent pay","Poorly organised management Most managers are passive aggressive or just damn right rude  they treat employees with little respect, you are treated more as a commodity than a person. Little appreciation from managers. They seem to care more about sale targets and the latest clothing items of the week. Rotas are chopped and changed even the day before  without anyone giving you notice. You are expected just to be aware of your change in shifts Extremely inflexible and draining. Often you will get given shifts that don't match with your availability. I wouldn't recommend this job for a fulltime student. Before you know it, it will take over your life and you WILL feel unhappy. i.e. your contract will be minimum 16 hours a week, but you will be given 20+ hours a week. Don't even think about booking time off/Christmas off without a resistance from managers Don't expect to finish on time. You will be expected to finished 13 hours over your shift. No negotiation. No prior notification. Due to working extra hours on a shift you will not have the appropriate breaks due to you = slave labour At least 34 people quit every week since store opening. Self explanatory. The store will continue to have a highturnover because working conditions are terrible. Most people carry on at the store for the money besides that, staff clearly don't enjoy being there."
2,Former Employee,Good,22-Oct-20, Cashier,"London, England",The team was nice to work with,Can get really stressful sometimes.
4,Former Employee,Zara manager,02-Oct-20, Retail Manager,"Dundee, Scotland",Good salary and benefits package,Customer expectations v reality of having barely any staff on shopfloor
3,Former Employee,Good for first job,08-Oct-20, Visual Merchandiser,"York, England","commision, holidays, salary,paid over time,busy","Low discount, poor management, busy, low commision,"
4,Former Employee,sales associate,11-Oct-20, Sales Associate,"Oxford, England","good experience, fast paced environment","long shifts, often very busy with customers"
1,"Former Employee, more than 3 years",Avoid if you like to be treated fairly and with respect,23-Jan-13, Anonymous Employee ,None,Lots of opporturnity for career progression as people constantly leave unhappy.,"It's too strict. Depending on the store you are walking on eggshells the whole time you're there. You start at say 12.30. You have to be on the floor for 12.20. If you're one minute late they mark you down as late and tell you off.  But they will keep you up to an hour after your shift has ended, a lot of the time unpaid. There's always favourites who get treated better. A lot of the managers are on a power trip. Bad atmosphere that's always tense. They change the rota without asking up the day before your shift or day off. They expect you to beable to do it and know anyway. One rule for managers, one rule for everyone else. Everyone who has started in their first week wanted to leave straightaway, only some stuck it out. They snap if you do one thing wrong. A lot of people end up in tears. If you do stick it out you'll grow a very thick skin, but you'll still hate it. The long term staff most have been there a year or 2. Most people leave after a few months. They will heap lots of extra responsibility on your shoulders with no extra pay or title, when one thing goes wrong not in your control they will tell you off or call a meeting. Even though it isn't in your contract as your responsibility. The managers will slack off and pass as many jobs onto you as they can."
3,"Former Employee, less than 1 year",tough but rewarding,04-Sep-20, Sales Associate,"London, England",Money is very good Good experience gained from it,Very long hours Hard work Constantly pushing you
4,"Former Employee, more than 1 year",was okay,04-Oct-20, Sales Assistant,"Edinburgh, Scotland","friendly staff, nice people to work with!","overworked and underpaid, manager was horrible"
5,Former Employee,Good,29-Sep-20, Sales Associate/Cashier ,None,"Sales bonuses, great team, fast paced environment","Long hours, very early and late shifts"
4,Former Employee,X,10-Oct-20, Retail Sales Associate,"Glasgow, Scotland",The hours were always good,They were not very friendly
1,"Former Employee, more than 1 year",The worst place Ive had,30-Nov-20, Store Assistant,"Edinburgh, Scotland",I cannot think of one.,Everything! If you ever worked there you know!
3,"Current Employee, more than 5 years",the team is the main benefits,15-Sep-20, Stock Associate,"Birmingham, England","great team , diversity, customer oriented,","Communication, efficiency, management, work condition"
4,"Former Employee, more than 5 years",Good opportunities,24-Sep-20, Ladieswear Manager,"London, England",The pay is good and the discount,None other than work life balance
5,"Current Employee, more than 3 years",Good job,27-Sep-20, Cashier,"West Thurrock, England",Good hours Good money Time goes by quick,Very high pace Very busy Not flexible
3,"Former Employee, less than 1 year",Could be a very nice job.,22-Sep-20, Sale Assistant,"London, England",Good salary and comfortable uniforms.,Mangement can be very mean.
3,Former Employee,its alright,12-Sep-20, Anonymous Employee,"London, England",it has fairly decent pay,there is not really anything bad to say
5,"Former Employee, more than 1 year",Lovely management,21-Sep-20, Sales Assistant,"London, England","Good treatment Fair pay lovely environment,",No cons i loved working there
1,"Former Employee, less than 1 year",Great interview but terrible management,23-May-20, Sales Assistant,"London, England",An initial group interview which was very fun. The staff and interviewers at INDITEX were friendly and polite.,"The following review is my personal experience and what my colleagues experienced at a particular central store. Managers treat you as if you are dumb and a slave. Two of our managers were multiple times aggressive, throwing clothes and hangers on the employees, staff was constantly left in tears. When I informed them that my contract has ended and I do not wish to continue working there (they would continue to put me on the rota), two of the three store managers tried to keep me tied to my contract by putting my signature on an extended contract that I never signed! Whilst I insisted that this is illegal and I do not wish to come back, one of them yelled at me ""Do you think you will find any better? I'll put you on the black list and you'll never get a job, stupid sales assistants think they are smart but that's the job you'll do for life!"" in her broken ItalianEnglish. I've never met more arrogant and mean people in a workplace. I felt threatened and left their office without saying anything. I was too excited as I was starting my Master degree, I did not have time to deal with negativity, arrogance and uneducated people but I wish I'd have reported these particular staff members. I love Zara stores but not how their employees are treated. I hope things have changed since then and everyone is safe."
5,Current Employee,Good,11-Sep-20, Sales Associate/Cashier ,None,"Good pay, and good discount",Too busy environment and loads of moany customers
4,"Former Employee, more than 1 year",Retail,16-Sep-20, Sales Associate,"Manchester, England","Fast Paced, Teamwork enhancement, Retail Experience","Stressful during season terms, understaff'ed"
